index	dtw_type	subject_1	subject_2	condition_1	condition_2	obstacles_1	obstacles_2	dtw_distance	distance_matrix_key
0	within	33	33	h	k	0	0	104.69524278953946	s33-s33_ch-ck_o0-o0
1	within	33	33	h	s	0	0	86.02111192861483	s33-s33_ch-cs_o0-o0
2	within	33	33	k	s	0	0	87.90824547258592	s33-s33_ck-cs_o0-o0
3	within	33	33	h	k	1	1	91.61647028863321	s33-s33_ch-ck_o1-o1
4	within	33	33	h	s	1	1	112.99572050233107	s33-s33_ch-cs_o1-o1
5	within	33	33	k	s	1	1	100.36611778653158	s33-s33_ck-cs_o1-o1
6	within	33	33	h	h	0	1	92.58462286679233	s33-s33_ch-ch_o0-o1
7	within	33	33	k	k	0	1	88.75296607360106	s33-s33_ck-ck_o0-o1
8	within	33	33	s	s	0	1	113.45261788480869	s33-s33_cs-cs_o0-o1
9	within	34	34	h	k	0	0	127.19252410481474	s34-s34_ch-ck_o0-o0
10	within	34	34	h	s	0	0	134.7794541680264	s34-s34_ch-cs_o0-o0
11	within	34	34	k	s	0	0	135.74373556974342	s34-s34_ck-cs_o0-o0
12	within	34	34	h	k	1	1	138.10492142944045	s34-s34_ch-ck_o1-o1
13	within	34	34	h	s	1	1	171.7699631455526	s34-s34_ch-cs_o1-o1
14	within	34	34	k	s	1	1	155.84564533297566	s34-s34_ck-cs_o1-o1
15	within	34	34	h	h	0	1	124.94633648708614	s34-s34_ch-ch_o0-o1
16	within	34	34	k	k	0	1	130.25938183587937	s34-s34_ck-ck_o0-o1
17	within	34	34	s	s	0	1	157.36279534153928	s34-s34_cs-cs_o0-o1
18	within	35	35	h	k	0	0	100.58836929144445	s35-s35_ch-ck_o0-o0
19	within	35	35	h	s	0	0	110.20345248872563	s35-s35_ch-cs_o0-o0
20	within	35	35	k	s	0	0	105.7927095775036	s35-s35_ck-cs_o0-o0
21	within	35	35	h	k	1	1	109.6050998114241	s35-s35_ch-ck_o1-o1
22	within	35	35	h	s	1	1	103.30932690564607	s35-s35_ch-cs_o1-o1
23	within	35	35	k	s	1	1	103.28805441691044	s35-s35_ck-cs_o1-o1
