index	dtw_type	subject_1	subject_2	condition_1	condition_2	obstacles_1	obstacles_2	dtw_distance	distance_matrix_key
0	within	33	33	h	k	0	0	104.05555003128853	s33-s33_ch-ck_o0-o0
1	within	33	33	h	s	0	0	85.29645606711611	s33-s33_ch-cs_o0-o0
2	within	33	33	k	s	0	0	87.20266242801834	s33-s33_ck-cs_o0-o0
3	within	33	33	h	k	1	1	90.86421556510156	s33-s33_ch-ck_o1-o1
4	within	33	33	h	s	1	1	110.35938450829025	s33-s33_ch-cs_o1-o1
5	within	33	33	k	s	1	1	98.53917288605149	s33-s33_ck-cs_o1-o1
6	within	33	33	h	h	0	1	92.0701454128945	s33-s33_ch-ch_o0-o1
7	within	33	33	k	k	0	1	87.77802845029518	s33-s33_ck-ck_o0-o1
8	within	33	33	s	s	0	1	110.99534856976807	s33-s33_cs-cs_o0-o1
9	within	34	34	h	k	0	0	125.51132357286804	s34-s34_ch-ck_o0-o0
10	within	34	34	h	s	0	0	132.96001292669155	s34-s34_ch-cs_o0-o0
11	within	34	34	k	s	0	0	134.07437024322175	s34-s34_ck-cs_o0-o0
12	within	34	34	h	k	1	1	136.22488118593148	s34-s34_ch-ck_o1-o1
13	within	34	34	h	s	1	1	170.09463613539606	s34-s34_ch-cs_o1-o1
14	within	34	34	k	s	1	1	153.74799684131804	s34-s34_ck-cs_o1-o1
15	within	34	34	h	h	0	1	123.49440287214627	s34-s34_ch-ch_o0-o1
16	within	34	34	k	k	0	1	127.54049165225125	s34-s34_ck-ck_o0-o1
17	within	34	34	s	s	0	1	155.58781131250598	s34-s34_cs-cs_o0-o1
18	within	35	35	h	k	0	0	99.35787713082169	s35-s35_ch-ck_o0-o0
19	within	35	35	h	s	0	0	107.43624218414524	s35-s35_ch-cs_o0-o0
20	within	35	35	k	s	0	0	104.30630394518838	s35-s35_ck-cs_o0-o0
21	within	35	35	h	k	1	1	104.62931662034639	s35-s35_ch-ck_o1-o1
22	within	35	35	h	s	1	1	101.6988744560791	s35-s35_ch-cs_o1-o1
23	within	35	35	k	s	1	1	101.99537546376837	s35-s35_ck-cs_o1-o1
24	within	35	35	h	h	0	1	105.24751277758666	s35-s35_ch-ch_o0-o1
25	within	35	35	k	k	0	1	92.3813796991845	s35-s35_ck-ck_o0-o1
26	within	35	35	s	s	0	1	105.28850856129986	s35-s35_cs-cs_o0-o1
27	within	38	38	h	k	0	0	82.67100736717973	s38-s38_ch-ck_o0-o0
28	within	38	38	h	s	0	0	110.7318102950852	s38-s38_ch-cs_o0-o0
29	within	38	38	k	s	0	0	107.8092956262404	s38-s38_ck-cs_o0-o0
30	within	38	38	h	k	1	1	113.20997053494274	s38-s38_ch-ck_o1-o1
31	within	38	38	h	s	1	1	91.45485000388508	s38-s38_ch-cs_o1-o1
32	within	38	38	k	s	1	1	107.23586630129057	s38-s38_ck-cs_o1-o1
33	within	38	38	h	h	0	1	74.27879658002692	s38-s38_ch-ch_o0-o1
34	within	38	38	k	k	0	1	97.48662476712144	s38-s38_ck-ck_o0-o1
35	within	38	38	s	s	0	1	119.55594212952442	s38-s38_cs-cs_o0-o1
36	within	39	39	h	k	0	0	79.60793111483143	s39-s39_ch-ck_o0-o0
37	within	39	39	h	s	0	0	90.8669404513311	s39-s39_ch-cs_o0-o0
38	within	39	39	k	s	0	0	86.96907108477055	s39-s39_ck-cs_o0-o0
39	within	39	39	h	k	1	1	119.63290515800118	s39-s39_ch-ck_o1-o1
40	within	39	39	h	s	1	1	113.74233428721983	s39-s39_ch-cs_o1-o1
41	within	39	39	k	s	1	1	90.74634897606876	s39-s39_ck-cs_o1-o1
